,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
16,0470535.004,"[[-73.962743, 40.707685], [-73.962131, 40.707623], [-73.96114399999999, 40.707524], [-73.959938, 40.707406999999996], [-73.959395, 40.707352], [-73.96076699999999, 40.706464], [-73.96136299999999, 40.706997], [-73.963098, 40.7059], [-73.963745, 40.706479], [-73.964393, 40.707056], [-73.964849, 40.707454], [-73.964421, 40.707533999999995], [-73.963278, 40.707729], [-73.962743, 40.707685]]",1312,         45489,1330,7,1312,84,364,24,1312,17,364,287
17,0470543.001,"[[-73.965204, 40.702622999999996], [-73.963869, 40.701541999999996], [-73.962524, 40.700472999999995], [-73.96217899999999, 40.700221], [-73.962839, 40.698039], [-73.965774, 40.697635999999996], [-73.969728, 40.697804], [-73.976787, 40.698087], [-73.980544, 40.698246], [-73.980462, 40.699703], [-73.98045499999999, 40.700852], [-73.980729, 40.701268], [-73.980649, 40.701561], [-73.98022399999999, 40.703063], [-73.97998799999999, 40.703541], [-73.979328, 40.704746], [-73.979233, 40.705769], [-73.974546, 40.707547], [-73.972146, 40.708946999999995], [-73.970045, 40.706947], [-73.969445, 40.706846999999996], [-73.969157, 40.707027], [-73.96913099999999, 40.707029], [-73.968389, 40.706829], [-73.967951, 40.705731], [-73.96761599999999, 40.704961], [-73.96721, 40.704256], [-73.96607399999999, 40.70332], [-73.965204, 40.702622999999996]]",7,        949912,7,0,7,0,1,0,7,0,1,0
18,0470545.002,"[[-73.96721, 40.704256], [-73.96761599999999, 40.704961], [-73.967951, 40.705731], [-73.968389, 40.706829], [-73.967289, 40.707001999999996], [-73.96672699999999, 40.705523], [-73.966325, 40.70483], [-73.96721, 40.704256]]",1120,         26009,1122,0,1120,20,187,4,1120,2,187,167
19,0470545.004,"[[-73.963745, 40.706479], [-73.965093, 40.705633999999996], [-73.965672, 40.706202999999995], [-73.964393, 40.707056], [-73.963745, 40.706479]]",573,         11951,573,4,573,2,104,0,573,0,104,69
20,0470547.001,"[[-73.965938, 40.708197], [-73.96432899999999, 40.708014999999996], [-73.964421, 40.707533999999995], [-73.964849, 40.707454], [-73.965932, 40.707243999999996], [-73.967289, 40.707001999999996], [-73.968389, 40.706829], [-73.968423, 40.707755999999996], [-73.967383, 40.707637], [-73.96710399999999, 40.709053999999995], [-73.965801, 40.708901999999995], [-73.965938, 40.708197]]",1191,         42181,1217,244,1191,288,438,90,1191,25,438,418
21,0470547.003,"[[-73.96564099999999, 40.709717], [-73.964027, 40.709534], [-73.962414, 40.709351999999996], [-73.96257299999999, 40.708535], [-73.964185, 40.70872], [-73.965801, 40.708901999999995], [-73.96710399999999, 40.709053999999995], [-73.967383, 40.707637], [-73.968423, 40.707755999999996], [-73.968389, 40.706829], [-73.96913099999999, 40.707029], [-73.969157, 40.707027], [-73.969445, 40.706846999999996], [-73.96984499999999, 40.709047], [-73.969584, 40.71017], [-73.968524, 40.710046], [-73.966949, 40.709865], [-73.96564099999999, 40.709717]]",2598,        100305,2706,178,2598,328,740,94,2598,93,740,563
22,0470549.001,"[[-73.964027, 40.709534], [-73.96564099999999, 40.709717], [-73.966949, 40.709865], [-73.968524, 40.710046], [-73.968524, 40.71082], [-73.96677799999999, 40.710626999999995], [-73.965492, 40.710482], [-73.963135, 40.710204], [-73.96229199999999, 40.709921], [-73.962414, 40.709351999999996], [-73.964027, 40.709534]]",2016,         44430,2073,94,2016,368,630,102,2016,48,630,383
23,0470549.002,"[[-73.96229199999999, 40.709921], [-73.963135, 40.710204], [-73.965492, 40.710482], [-73.96677799999999, 40.710626999999995], [-73.968524, 40.71082], [-73.968524, 40.710046], [-73.969584, 40.71017], [-73.96905, 40.712482], [-73.968469, 40.712998999999996], [-73.96578099999999, 40.712861], [-73.964462, 40.712458999999996], [-73.962942, 40.711905], [-73.961421, 40.711349], [-73.962, 40.710432999999995], [-73.96229199999999, 40.709921]]",1106,        150688,1153,46,1106,768,515,246,1106,44,515,473
24,0470551.001,"[[-73.962777, 40.715106], [-73.963601, 40.713826], [-73.96407099999999, 40.713079], [-73.964462, 40.712458999999996], [-73.96578099999999, 40.712861], [-73.968469, 40.712998999999996], [-73.96837, 40.714127], [-73.968041, 40.714966], [-73.967716, 40.71604], [-73.967578, 40.716496], [-73.966639, 40.716364999999996], [-73.964472, 40.715733], [-73.962777, 40.715106]]",898,        140278,926,65,898,386,404,141,898,24,404,291
25,0470551.003,"[[-73.962081, 40.713269], [-73.962552, 40.712526], [-73.96407099999999, 40.713079], [-73.963601, 40.713826], [-73.962777, 40.715106], [-73.961287, 40.714501999999996], [-73.962081, 40.713269]]",1156,         35225,1214,103,1156,555,534,185,1156,57,534,457
26,0470551.004,"[[-73.962942, 40.711905], [-73.964462, 40.712458999999996], [-73.96407099999999, 40.713079], [-73.962552, 40.712526], [-73.961029, 40.711968999999996], [-73.961421, 40.711349], [-73.962942, 40.711905]]",1347,         21779,1410,94,1347,432,544,148,1347,61,544,491
27,0470553.001,"[[-73.95762599999999, 40.715927], [-73.95822299999999, 40.715374], [-73.95951099999999, 40.716172], [-73.958913, 40.716727999999996], [-73.957725, 40.717835], [-73.95713099999999, 40.718388], [-73.955844, 40.717589], [-73.956439, 40.717031999999996], [-73.957031, 40.716483], [-73.95762599999999, 40.715927]]",898,         44615,924,17,898,527,484,153,898,23,484,371
28,0470553.003,"[[-73.957725, 40.717835], [-73.958913, 40.716727999999996], [-73.95951099999999, 40.716172], [-73.960139, 40.715582999999995], [-73.961423, 40.716384], [-73.960791, 40.716972999999996], [-73.959009, 40.718636], [-73.958416, 40.719189], [-73.95713099999999, 40.718388], [-73.957725, 40.717835]]",687,         56377,710,15,687,400,335,114,687,19,335,297
29,0470555.001,"[[-73.965086, 40.719581], [-73.96355, 40.721571], [-73.96172, 40.72032], [-73.959009, 40.718636], [-73.960791, 40.716972999999996], [-73.961423, 40.716384], [-73.962289, 40.715579999999996], [-73.962777, 40.715106], [-73.964472, 40.715733], [-73.966639, 40.716364999999996], [-73.967578, 40.716496], [-73.966836, 40.717563999999996], [-73.966511, 40.717917], [-73.965704, 40.718779], [-73.965086, 40.719581]]",1959,        261679,2039,115,1959,924,905,279,1959,79,905,708
32,0470553.002,"[[-73.959277, 40.71439], [-73.959486, 40.714192], [-73.959797, 40.713887], [-73.961287, 40.714501999999996], [-73.962777, 40.715106], [-73.962289, 40.715579999999996], [-73.961423, 40.716384], [-73.960139, 40.715582999999995], [-73.95951099999999, 40.716172], [-73.95822299999999, 40.715374], [-73.959277, 40.71439]]",1011,         55278,1043,55,1011,468,478,135,1011,31,478,408
