,block_tract,points,Population,Area,AllRaces,Black,Households,NonfamilyHouseholds,RelNonrel,Nonrelatives,AllRaceCounts,MixedRace,OccupiedHousing,RentedHouseholds
72,0470449.003,"[[-73.939264, 40.723273999999996], [-73.938728, 40.722183], [-73.935589, 40.722991], [-73.935041, 40.721669], [-73.938129, 40.720828999999995], [-73.93752599999999, 40.719459], [-73.94049199999999, 40.718679], [-73.940747, 40.720155999999996], [-73.940867, 40.720887], [-73.941075, 40.722167], [-73.941091, 40.722271], [-73.94022199999999, 40.722865], [-73.939311, 40.723348], [-73.939264, 40.723273999999996]]",649,        139678,684,26,649,237,303,66,649,35,303,238
73,0470481.003,"[[-73.93734599999999, 40.713816], [-73.937383, 40.713166], [-73.938784, 40.713190999999995], [-73.940128, 40.712863999999996], [-73.941041, 40.712666], [-73.941385, 40.713347], [-73.941713, 40.714006999999995], [-73.942066, 40.714729], [-73.94121799999999, 40.714707], [-73.937294, 40.714537], [-73.93734599999999, 40.713816]]",1433,         64972,1475,32,1433,845,687,268,1433,40,687,631
74,0470491.004,"[[-73.94456699999999, 40.705020999999995], [-73.94445, 40.704308999999995], [-73.944217, 40.702895], [-73.944105, 40.702186], [-73.94400499999999, 40.701961999999995], [-73.945855, 40.702987], [-73.946265, 40.705604], [-73.944687, 40.705739], [-73.94456699999999, 40.705020999999995]]",1812,         48007,1879,428,1812,305,770,32,1812,60,770,670
75,0470493.003,"[[-73.94163999999999, 40.70823], [-73.93995799999999, 40.70839], [-73.938864, 40.708495], [-73.93852799999999, 40.707782], [-73.938705, 40.707015], [-73.93971499999999, 40.706917999999995], [-73.94139899999999, 40.706758], [-73.941518, 40.707493], [-73.94163999999999, 40.70823]]",923,         40165,956,28,923,515,401,193,923,30,401,366
76,0470495.002,"[[-73.943911, 40.711641], [-73.94403199999999, 40.712378], [-73.944148, 40.713087], [-73.944265, 40.713795999999995], [-73.942583, 40.713955], [-73.942466, 40.713243999999996], [-73.94234999999999, 40.712537], [-73.942228, 40.711801], [-73.942105, 40.711059999999996], [-73.943788, 40.710901], [-73.943911, 40.711641]]",943,         46414,989,24,943,392,411,137,943,43,411,334
77,0470497.003,"[[-73.946186, 40.715067], [-73.946417, 40.716487], [-73.946533, 40.717197999999996], [-73.94485, 40.717357], [-73.944388, 40.714532], [-73.944265, 40.713795999999995], [-73.945949, 40.713637999999996], [-73.94606999999999, 40.714372], [-73.946186, 40.715067]]",1065,         57162,1091,17,1065,641,542,215,1065,26,542,399
78,0470501.002,"[[-73.949372, 40.714067], [-73.949482, 40.714755], [-73.949598, 40.715464], [-73.947954, 40.715616999999995], [-73.947833, 40.714914], [-73.946186, 40.715067], [-73.94606999999999, 40.714372], [-73.94771899999999, 40.714216], [-73.949372, 40.714067]]",1016,         32916,1052,35,1016,424,490,129,1016,33,490,383
79,0470503.001,"[[-73.947366, 40.712061], [-73.947482, 40.71277], [-73.947597, 40.713477], [-73.94771899999999, 40.714216], [-73.94606999999999, 40.714372], [-73.945949, 40.713637999999996], [-73.94583399999999, 40.712927], [-73.945717, 40.712218], [-73.945596, 40.711481], [-73.947245, 40.711324], [-73.947366, 40.712061]]",802,         45430,819,7,802,430,406,120,802,16,406,301
80,0470505.002,"[[-73.94344, 40.708780999999995], [-73.943322, 40.708071], [-73.943202, 40.707335], [-73.944904, 40.707169], [-73.946523, 40.707011], [-73.946756, 40.708466], [-73.94512499999999, 40.708625], [-73.94344, 40.708780999999995]]",1131,         46044,1214,103,1131,590,436,208,1131,68,436,390
81,0470509.001,"[[-73.94866499999999, 40.704564999999995], [-73.947052, 40.703663999999996], [-73.949379, 40.702158999999995], [-73.95064099999999, 40.703286999999996], [-73.95190000000001, 40.704418], [-73.950237, 40.705473], [-73.94983599999999, 40.705228999999996], [-73.949254, 40.704896], [-73.94866499999999, 40.704564999999995]]",1644,         72001,1653,11,1644,84,330,32,1644,9,330,274
