id,lat,lon,state
372,40.694528,-73.958089,NY
373,40.69331716,-73.95381995,NY
375,40.72679454,-73.99695094,NY
376,40.70862144,-74.00722156,NY
377,40.72243797,-74.00566443,NY
379,40.749156,-73.9916,NY
380,40.73401143,-74.00293877,NY
382,40.73492695,-73.99200509,NY
383,40.735238,-74.000271,NY
384,40.68317813,-73.9659641,NY
385,40.75797322,-73.96603308,NY
386,40.71494807,-74.00234482,NY
387,40.71273266,-74.0046073,NY
388,40.749717753,-74.002950346,NY
389,40.71044554,-73.96525063,NY
390,40.69221589,-73.9842844,NY
391,40.69760127,-73.99344559,NY
392,40.695065,-73.987167,NY
393,40.72299208,-73.97995466,NY
394,40.72521311,-73.97768752,NY
395,40.68807003,-73.98410637,NY
396,40.680342423,-73.9557689392,NY
397,40.68415748,-73.96922273,NY
398,40.69165183,-73.9999786,NY
399,40.68851534,-73.9647628,NY
400,40.71926081,-73.98178024,NY
401,40.72019576,-73.98997825,NY
402,40.7403432,-73.98955109,NY
403,40.72502876,-73.99069656,NY
404,40.7405826,-74.00550867,NY
405,40.739323,-74.008119,NY
406,40.69512845,-73.99595065,NY
407,40.700469,-73.991454,NY
408,40.71076228,-73.99400398,NY
409,40.6906495,-73.95643107,NY
410,40.72066442,-73.98517977,NY
411,40.72228087,-73.97668709,NY
412,40.7158155,-73.99422366,NY
414,40.70281858,-73.98765762,NY
415,40.7047177,-74.00926027,NY
416,40.68753406,-73.97265183,NY
417,40.71291224,-74.01020234,NY
418,40.70224,-73.982578,NY
419,40.69580705,-73.97355569,NY
420,40.68764484,-73.96968902,NY
421,40.69573398,-73.97129668,NY
422,40.770513,-73.988038,NY
423,40.76584941,-73.98690506,NY
426,40.71754834,-74.01322069,NY
427,40.701907,-74.013942,NY
428,40.72467721,-73.98783413,NY
430,40.7014851,-73.98656928,NY
431,40.68864636,-73.98263429,NY
432,40.72621788,-73.98379855,NY
433,40.72955361,-73.98057249,NY
434,40.74317449,-74.00366443,NY
435,40.74173969,-73.99415556,NY
436,40.68216564,-73.95399026,NY
437,40.6809833854,-73.9500479759,NY
438,40.72779126,-73.98564945,NY
439,40.7262807,-73.98978041,NY
440,40.75255434,-73.97282625,NY
441,40.756014,-73.967416,NY
442,40.746647,-73.993915,NY
443,40.70853074,-73.96408963,NY
444,40.7423543,-73.98915076,NY
445,40.72740794,-73.98142006,NY
446,40.74487634,-73.99529885,NY
447,40.76370739,-73.9851615,NY
448,40.75660359,-73.9979009,NY
449,40.76461837,-73.98789473,NY
450,40.76227205,-73.98788205,NY
453,40.74475148,-73.99915362,NY
454,40.75455731,-73.96592976,NY
455,40.75001986,-73.96905301,NY
456,40.7597108,-73.97402311,NY
457,40.76695317,-73.98169333,NY
458,40.751396,-74.005226,NY
459,40.746745,-74.007756,NY
460,40.71285887,-73.96590294,NY
