,comName_cen2010,comPop2010,medInc2010,comNum,comNameLong,walkScore,tranScore,bikeScore,comPop,comName,area,Pr2010,Pr2011,Pr2012,Pr2013,Pr2014,HOM_TA2010,BAT_TA2010,BUR_TA2010,ROB_TA2010,NAR_TA2010,ALL_TA2010
21,Logan Square,72791,49610,22,Logan Square,88.0,70.66666666666667,78.33333333333333,109687.0,LoganSquare,100057566.7,276862.5,252214.5833333333,245925.0,271068.75,291807.14285714284,6.333333333333333,1363.3333333333333,725.8333333333334,321.8333333333333,588.3333333333334,8996.666666666666
22,Humboldt Park,56323,29605,23,Humboldt Park,76.5,65.0,61.5,55624.0,HumboldtPark,100480876.5,232558.33333333334,208433.33333333334,191741.66666666666,220858.33333333334,233871.42857142858,22.666666666666668,2671.3333333333335,592.8333333333334,482.5,3181.6666666666665,13231.0
23,West Town,82236,60720,24,West Town,88.71428571428571,72.71428571428571,79.85714285714286,59287.0,WestTown,127562904.6,331579.76190476195,306423.8095238096,303507.14285714284,330094.04761904763,352569.38775510207,7.333333333333333,1640.5,955.1666666666666,421.1666666666667,773.6666666666666,12345.666666666666
24,Austin,98514,32358,25,Austin,70.25,64.0,55.0,97720.0,Austin,199254203.4,,,,,,34.666666666666664,5283.166666666667,1137.5,1135.8333333333333,6959.333333333333,27214.666666666668
25,West Garfield Park,18001,23033,26,West Garfield Park,72.0,69.0,55.0,14149.0,WestGarfieldPark,36092848.82,,,,,,13.833333333333334,1480.6666666666667,269.1666666666667,323.1666666666667,2141.3333333333335,7493.333333333333
26,East Garfield Park,20567,24488,27,East Garfield Park,68.0,73.5,60.0,23325.0,EastGarfieldPark,53883220.85,,,,,,10.333333333333334,1667.8333333333333,259.5,309.0,1843.6666666666667,7894.333333333333
27,Near West Side,54881,62770,28,Near West Side,84.5,81.16666666666667,82.5,44087.0,NearWestSide,158492466.6,305861.11111111107,278775.0,271875.0,299269.44444444444,326952.3809523809,9.0,1704.1666666666667,382.8333333333333,371.6666666666667,885.6666666666666,11449.166666666666
28,North Lawndale,35912,25797,29,North Lawndale,71.0,68.5,63.0,7572.0,NorthLawndale,89487422.02,,,,,,19.666666666666668,2459.5,476.3333333333333,440.0,2831.5,11466.833333333334
29,South Lawndale,79288,33593,30,South Lawndale,78.0,62.0,59.0,80500.0,SouthLawndale,127998297.9,,,,,,14.333333333333334,1408.0,328.0,256.8333333333333,686.3333333333334,7095.0
30,Lower West Side,35769,34573,31,Lower West Side,83.75,66.0,74.0,34982.0,LowerWestSide,81550723.64,,,,,,5.333333333333333,711.8333333333334,191.5,105.16666666666667,294.0,4012.8333333333335
31,Loop,29283,78124,32,Loop,92.5,96.5,80.75,54417.0,Loop,46335565.46,343703.5714285714,319435.71428571426,312515.4761904762,335776.1904761905,358465.30612244894,1.25,680.1666666666666,114.0,237.0,269.0,8503.666666666666
32,Near South Side,21390,75995,33,Near South Side,89.0,96.0,75.0,3470.0,NearSouthSide,49769639.45,292675.0,268550.0,262997.2222222222,289644.4444444445,313390.47619047615,2.75,432.5,76.0,69.66666666666667,371.8333333333333,3484.1666666666665
33,Armour Square,13391,27619,34,Armour Square,73.5,73.5,65.5,5429.0,ArmourSquare,27766196.1,,,,,,1.0,202.0,75.16666666666667,78.33333333333333,106.16666666666667,1419.6666666666667
34,Douglas,18238,32805,35,Douglas,68.42857142857143,65.85714285714286,67.14285714285714,43668.0,Douglas,46004621.16,172891.66666666666,147158.33333333334,127366.66666666667,134316.66666666666,139400.0,3.6666666666666665,842.5,110.66666666666667,153.16666666666666,1167.5,4802.0
35,Oakland,5918,20800,36,Oakland,55.0,55.0,69.0,4424.0,Oakland,16913961.04,,,,,,1.6666666666666667,198.83333333333334,57.333333333333336,28.0,102.83333333333333,882.5
36,Fuller Park,2876,15086,37,Fuller Park,55.0,72.0,46.0,2836.0,FullerPark,19916704.87,,,,,,1.3333333333333333,268.1666666666667,50.166666666666664,61.5,223.83333333333334,1350.8333333333333
37,Grand Boulevard,21929,28040,38,Grand Boulevard,61.0,73.0,51.0,945.0,GrandBoulevard,48492503.16,172891.66666666666,147158.33333333334,127366.66666666667,134316.66666666666,139400.0,7.833333333333333,1155.0,362.8333333333333,242.66666666666666,562.3333333333334,5520.333333333333
38,Kenwood,17841,39371,39,Kenwood,73.0,65.5,73.0,11067.0,Kenwood,29071741.93,,,,,,1.6,471.6666666666667,154.16666666666666,87.16666666666667,161.0,2443.8333333333335
39,Washington Park,11717,21899,40,Washington Park,66.0,72.0,54.0,12003.0,WashingtonPark,42373881.48,,,,,,8.5,1090.0,257.6666666666667,216.33333333333334,530.1666666666666,4559.166666666667
40,Hyde Park,25681,45335,41,Hyde Park,82.5,67.0,70.5,29443.0,HydePark,45105380.17,181000.0,153361.11111111112,142230.5555555556,151472.22222222222,152085.7142857143,1.6,321.6666666666667,215.5,148.16666666666666,83.0,2522.8333333333335
41,Woodlawn,23740,27413,42,Woodlawn,66.0,71.5,59.5,22581.0,Woodlawn,57815179.51,140200.0,119375.0,104283.33333333333,104916.66666666667,106914.28571428571,7.5,1527.0,519.8333333333334,336.3333333333333,1017.8333333333334,7379.0
42,South Shore,52010,27903,43,South Shore,74.0,67.5,61.5,44944.0,SouthShore,81812716.4,106758.33333333333,87458.33333333333,76283.33333333333,79908.33333333333,91600.0,18.5,2925.5,1071.6666666666667,649.6666666666666,1509.6666666666667,13854.166666666666
43,Chatham,31028,32057,44,Chatham,74.33333333333333,66.66666666666667,53.0,29533.0,Chatham,82320670.31,,,,,,12.5,1645.1666666666667,590.5,511.1666666666667,952.0,8914.333333333334
44,Avalon Park,10185,46903,45,Avalon Park,74.66666666666667,60.333333333333336,56.0,9527.0,AvalonPark,34852737.74,,,,,,3.1666666666666665,432.3333333333333,166.16666666666666,124.5,134.66666666666666,2188.1666666666665
45,South Chicago,31198,31164,46,South Chicago,62.5,62.5,51.5,30898.0,SouthChicago,93272185.01,,,,,,13.5,1732.5,591.3333333333334,327.0,966.5,8075.833333333333
46,Burnside,2916,32553,47,Burnside,58.0,68.0,45.0,9891.0,Burnside,16995983.27,,,,,,2.2,136.0,62.833333333333336,23.5,78.0,654.1666666666666
47,Calumet Heights,13812,55669,48,Calumet Heights,58.5,57.5,46.5,13949.0,CalumetHeights,48826241.56,,,,,,2.6,371.5,174.0,122.66666666666667,172.83333333333334,2256.5
48,Roseland,44619,40142,49,Roseland,58.0,68.5,46.5,43441.0,Roseland,134313706.7,,,,,,16.166666666666668,2447.5,782.0,514.0,1592.1666666666667,11749.0
49,Pullman,7325,40059,50,Pullman,41.333333333333336,61.0,39.666666666666664,4550.0,Pullman,59001555.6,,,,,,2.0,384.6666666666667,78.66666666666667,54.833333333333336,113.16666666666667,1670.5
50,South Deering,15109,38594,51,South Deering,39.0,49.0,44.333333333333336,11473.0,SouthDeering,303797059.7,,,,,,4.0,470.3333333333333,194.16666666666666,90.83333333333333,196.16666666666666,2619.1666666666665
51,East Side,23042,41196,52,East Side,54.0,38.0,53.0,23145.0,EastSide,83241728.05,,,,,,3.25,375.5,185.33333333333334,37.833333333333336,170.83333333333334,2116.5
52,West Pullman,29651,39601,53,West Pullman,52.0,58.0,47.0,29280.0,WestPullman,99365198.08,91416.66666666667,83275.0,83341.66666666667,87150.0,83871.42857142857,13.833333333333334,1538.3333333333333,564.6666666666666,277.6666666666667,918.1666666666666,7247.833333333333
53,Riverdale,6482,13380,54,Riverdale,31.333333333333332,44.666666666666664,36.666666666666664,5883.0,Riverdale,98389497.41,,,,,,3.6666666666666665,444.5,85.83333333333333,68.33333333333333,158.5,1557.3333333333333
54,Hegewisch,9426,49924,55,Hegewisch,54.0,41.0,51.0,12864.0,Hegewisch,145965741.4,,,,,,1.6666666666666667,146.5,75.5,15.0,68.5,884.5
55,Garfield Ridge,34513,61206,56,Garfield Ridge,56.25,47.75,47.5,32876.0,GarfieldRidge,117890778.4,171458.33333333334,149833.33333333334,133800.0,143241.66666666666,156114.2857142857,2.8,515.5,197.66666666666666,85.33333333333333,236.66666666666666,3638.3333333333335
56,Archer Heights,13393,42571,57,Archer Heights,70.0,64.0,54.0,57612.0,ArcherHeights,55922505.72,184033.33333333334,139708.33333333334,122033.33333333333,140066.66666666666,152800.0,2.5,198.83333333333334,119.5,59.666666666666664,79.0,1595.8333333333333
57,Brighton Park,45368,39289,58,Brighton Park,70.0,60.0,53.0,46460.0,BrightonPark,75892790.31,,,,,,6.333333333333333,716.8333333333334,316.8333333333333,134.83333333333334,349.1666666666667,4143.666666666667
58,McKinley Park,15612,42327,59,Mckinley Park,73.0,62.0,54.0,14213.0,MckinleyPark,39431799.65,,,,,,3.0,264.1666666666667,125.66666666666667,40.166666666666664,137.16666666666666,1788.3333333333333
59,Bridgeport,31977,42382,60,Bridgeport,77.0,62.0,70.0,37925.0,Bridgeport,58291519.28,,,,,,2.75,437.6666666666667,231.0,51.833333333333336,148.16666666666666,2725.6666666666665
60,New City,44377,32222,61,New City,72.5,62.5,52.0,44113.0,NewCity,134636963.3,,,,,,14.5,1922.5,494.5,287.6666666666667,1331.3333333333333,9051.166666666666
61,West Elsdon,18109,51003,62,West Elsdon,64.0,63.0,51.0,18227.0,WestElsdon,32711091.43,142116.66666666666,121575.0,112366.66666666667,123300.0,127114.28571428571,1.4,208.33333333333334,145.0,49.0,92.0,1630.6666666666667
62,Gage Park,39894,38855,63,Gage Park,71.0,60.0,53.0,39572.0,GagePark,61284896.11,,,,,,7.333333333333333,669.6666666666666,313.5,150.33333333333334,457.3333333333333,4030.5
63,Clearing,23139,54123,64,Clearing,51.0,56.0,52.0,18631.0,Clearing,71145192.38,136583.33333333334,111333.33333333333,97483.33333333333,93283.33333333333,97642.85714285714,1.6,279.6666666666667,128.66666666666666,22.666666666666668,89.33333333333333,1755.8333333333333
64,West Lawn,33355,46891,65,West Lawn,56.5,61.0,47.0,36283.0,WestLawn,82315301.68,135141.66666666666,113925.0,118458.33333333333,126700.0,129728.57142857143,2.5,402.1666666666667,246.0,105.66666666666667,140.66666666666666,3189.0
65,Chicago Lawn,55628,37779,66,Chicago Lawn,69.33333333333333,57.666666666666664,51.666666666666664,50875.0,ChicagoLawn,98279465.12,,,,,,15.5,2138.8333333333335,853.6666666666666,589.0,1460.0,11131.666666666666
66,West Englewood,35505,26654,67,West Englewood,65.0,61.0,54.0,25768.0,WestEnglewood,87947691.95,,,,,,21.0,2997.8333333333335,903.0,504.0,1922.1666666666667,12867.333333333334
67,Englewood,30654,19743,68,Englewood,65.0,65.0,53.0,49869.0,Englewood,85652323.08,,,,,,17.166666666666668,2894.8333333333335,829.5,541.8333333333334,1521.3333333333333,11696.333333333334
68,Greater Grand Crossing,32602,29663,69,Greater Grand Crossing,68.5,70.25,56.0,28680.0,GreaterGrandCrossing,98853167.71,,,,,,21.833333333333332,2322.0,677.6666666666666,553.0,1246.1666666666667,10498.666666666666
69,Ashburn,41081,62238,70,Ashburn,61.833333333333336,55.833333333333336,46.833333333333336,40459.0,Ashburn,135460337.2,,,,,,3.0,645.1666666666666,394.6666666666667,190.5,191.66666666666666,4013.1666666666665
70,Auburn Gresham,48743,34767,71,Auburn Gresham,69.0,61.0,50.0,50358.0,AuburnGresham,105065353.6,,,,,,17.333333333333332,2552.6666666666665,912.8333333333334,592.0,1563.6666666666667,12261.0
71,Beverly,20034,83092,72,Beverly,59.666666666666664,51.333333333333336,52.0,20297.0,Beverly,88779363.94,,,,,,1.0,170.5,150.5,51.666666666666664,43.166666666666664,1527.6666666666667
72,Washington Heights,26493,42053,73,Washington Heights,61.666666666666664,65.0,49.333333333333336,25982.0,WashingtonHeights,79635752.88,,,,,,8.666666666666666,953.1666666666666,363.6666666666667,209.5,542.3333333333334,5094.666666666667
73,Mount Greenwood,19093,80505,74,Mount Greenwood,41.333333333333336,46.666666666666664,40.333333333333336,19015.0,MountGreenwood,75584290.02,180683.33333333334,160125.0,146833.33333333334,161366.66666666666,152742.85714285713,1.0,144.5,46.833333333333336,11.0,38.0,952.5
74,Morgan Park,22544,56886,75,Morgan Park,58.666666666666664,48.666666666666664,52.666666666666664,20129.0,MorganPark,91877340.7,121925.0,104725.0,98233.33333333333,90258.33333333333,92100.0,4.0,618.3333333333334,267.8333333333333,111.66666666666667,307.1666666666667,3472.1666666666665
75,O'Hare,12756,49601,76,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666667,105741.66666666667,87883.33333333333,92908.33333333333,101842.85714285714,1.0,202.83333333333334,24.166666666666668,8.333333333333334,91.33333333333333,2239.8333333333335
76,Edgewater,56521,43331,77,Edgewater,88.83333333333333,73.66666666666667,70.0,55378.0,Edgewater,48449990.84,236048.3333333333,207468.3333333333,192183.33333333334,203513.33333333334,226977.14285714287,3.3333333333333335,683.1666666666666,255.0,150.0,271.5,4236.833333333333
