,lat,lng,price,htype,comm
116,41.939056,-87.65686,415000.0,Condo,
117,41.99314,-87.79852,91000.0,Condo,Norwood Park
118,41.9374,-87.639175,168000.0,Condo,
119,41.942726,-87.66721,381500.0,Condo,
120,41.91165,-87.64288,750000.0,Condo,Lincoln Park
121,41.893635,-87.64994,412500.0,Condo,Goose Island
122,41.934025,-87.64984,775000.0,Townhouse,
123,41.887062,-87.61969,442000.0,Condo,Loop
124,41.949615,-87.645775,320000.0,Condo,
125,41.922653,-87.691734,400000.0,Condo,Bucktown
126,41.93671,-87.63968,640000.0,Townhouse,
127,41.944633,-87.657974,410000.0,Condo,
128,42.015812,-87.66395,262000.0,Condo,Rogers Park
129,41.979313,-87.689964,23000.0,Condo,Lincoln Square
130,41.918335,-87.65761,575000.0,Condo,DePaul
131,41.8979,-87.62123,375000.0,Condo,Near North Side
132,41.866253,-87.62304,305000.0,Condo,Near South Side
133,41.913303,-87.643974,734000.0,Condo,Lincoln Park
134,41.912853,-87.68593,1099000.0,Townhouse,West Town
135,41.955395,-87.68003,356000.0,Condo,North Center
136,41.80261,-87.59319,242500.0,Condo,Kenwood
137,41.926895,-87.655685,300000.0,Condo,DePaul
138,41.94206,-87.664215,475000.0,Condo,
139,41.93322,-87.63707,475000.0,Condo,
140,41.956997,-87.65655,293500.0,Condo,Uptown
141,41.80343,-87.59531,415000.0,Condo,Kenwood
142,41.882557,-87.65053,452500.0,Condo,
143,41.873234,-87.68732,343000.0,Townhouse,Tri-Taylor
144,41.8913,-87.65044,426000.0,Townhouse,Goose Island
145,41.917835,-87.68525,505000.0,Condo,Bucktown
146,41.88501,-87.61481,385000.0,Condo,Loop
147,41.936275,-87.64106,152000.0,Condo,
148,41.888947,-87.626305,1800000.0,Condo,Near North Side
149,41.98105,-87.65449,255000.0,Condo,Edgewater
150,41.879524,-87.65244,427500.0,Condo,
151,41.88552,-87.61469,490000.0,Condo,Loop
152,42.009903,-87.671486,53000.0,Condo,Rogers Park
153,41.998,-87.67706,136000.0,Condo,West Rogers Park
154,41.976784,-87.65765,342500.0,Condo,Edgewater
155,41.79793,-87.74981,46000.0,Condo,Garfield Ridge
156,41.896236,-87.62347,1190000.0,Condo,Near North Side
157,41.894737,-87.67686,261000.0,Condo,Ukranian Village
158,41.927086,-87.65071,421000.0,Condo,DePaul
159,41.898827,-87.6196,425000.0,Condo,Near North Side
160,41.93924,-87.67021,528000.0,Condo,
161,41.911274,-87.686874,108000.0,Condo,West Town
162,41.99116,-87.661354,399000.0,Condo,Edgewater
163,41.97132,-87.764465,120000.0,Condo,Jefferson Park
164,41.912254,-87.63395,260000.0,Condo,Lincoln Park
165,41.908386,-87.67886,535000.0,Townhouse,Wicker Park
166,41.93221,-87.64144,176000.0,Condo,Lincoln Park
167,41.921074,-87.64302,333000.0,Condo,Lincoln Park
168,41.939766,-87.64588,425000.0,Condo,
169,41.942513,-87.644875,400000.0,Condo,
170,41.893642,-87.62753,30000.0,Condo,Near North Side
171,41.80076,-87.59015,210000.0,Condo,Hyde Park
172,41.832024,-87.64632,134000.0,Condo,Bridgeport
173,41.992188,-87.68023,80000.0,Condo,West Rogers Park
174,41.931686,-87.66383,675000.0,Condo,DePaul
175,41.992188,-87.68023,80000.0,Condo,West Rogers Park
176,41.93555,-87.63484,366000.0,Condo,
177,41.947247,-87.66311,860000.0,Condo,
178,41.81723,-87.60501,206000.0,Condo,Oakland
179,41.887165,-87.6438,400000.0,Condo,
180,41.942898,-87.6826,528000.0,Condo,Roscoe Village
181,41.94294,-87.65155,505000.0,Condo,
182,41.98949,-87.80959,51500.0,Condo,Norwood Park
183,41.988316,-87.664894,197000.0,Condo,Edgewater
184,41.894672,-87.61672,460000.0,Condo,Near North Side
185,41.881313,-87.68782,190000.0,Condo,
186,41.90219,-87.62698,197000.0,Condo,Near North Side
187,41.93468,-87.672806,567500.0,Townhouse,
188,41.8662,-87.6212,301500.0,Condo,Near South Side
189,41.931458,-87.666534,480000.0,Condo,DePaul
190,41.801636,-87.594604,412000.0,Condo,Hyde Park
191,41.896473,-87.68046,329000.0,Condo,Ukranian Village
192,41.893803,-87.628365,170000.0,Condo,Near North Side
193,41.93322,-87.63707,55000.0,Condo,
194,41.930786,-87.64194,275000.0,Condo,Lincoln Park
195,41.99212,-87.67674,131000.0,Condo,West Rogers Park
