,gNum,comNum,gAllCrimePer,gHOMIper,gBURGper,gNARCper,gPop,gPopDen,gPrice,gPriceNum,gSchScore,gSchScoreNum,gSqDistFromCBD,Unnamed: 0,comName_cen2010,comPop2010,medInc2010,comNameLong,walkScore,tranScore,bikeScore,comPop,comName,area,Pr2010,Pr2011,Pr2012,Pr2013,Pr2014,HOM_TA2010,BAT_TA2010,BUR_TA2010,ROB_TA2010,NAR_TA2010,ALL_TA2010,comPop2014est,popDen2014est
0,33.0,76.0,2190.0,0.0,0.0,0.0,410.8794042570936,963.1297244908803,0.0,0.0,0.0,0.0,13.837251971011629,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
1,34.0,76.0,730.0,0.0,0.0,0.0,410.8794042570936,963.1297244908803,0.0,0.0,0.0,0.0,14.095061848253117,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
2,35.0,76.0,35776.0,0.0,0.0,730.0,410.8794042570936,963.1297244908803,0.0,0.0,0.0,0.0,14.379837012843565,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
3,36.0,76.0,24581.0,0.0,0.0,243.0,410.8794042570936,963.1297244908803,0.0,0.0,0.0,0.0,14.690009330795164,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
4,75.0,76.0,486.0,0.0,0.0,0.0,410.8794042570936,963.1297244908803,0.0,0.0,0.0,0.0,13.81462901166138,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
5,115.0,76.0,243.0,0.0,0.0,0.0,410.8794042570936,963.1297244908803,0.0,0.0,0.0,0.0,13.255573390982113,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
6,151.0,76.0,243.0,0.0,0.0,0.0,410.8794042570936,963.1297244908803,0.0,0.0,0.0,0.0,11.592626783278764,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
7,153.0,76.0,2433.0,0.0,0.0,0.0,410.8794042570936,963.1297244908803,0.0,0.0,0.0,0.0,12.085871738972557,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
8,154.0,76.0,5110.0,0.0,486.0,0.0,410.8794042570936,963.1297244908803,0.0,0.0,0.0,0.0,12.380206867726843,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
9,155.0,76.0,98569.0,0.0,5110.0,1947.0,410.8794042570936,963.1297244908803,103859.0,39.0,19.0,1.0,12.703482439771234,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
10,156.0,76.0,1216.0,0.0,0.0,0.0,410.8794042570936,963.1297244908803,0.0,0.0,0.0,0.0,13.053548472368705,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
11,194.0,76.0,13385.0,0.0,243.0,243.0,410.8794042570936,963.1297244908803,73000.0,4.0,0.0,0.0,11.821156933293809,75,O'Hare,12756,49601,Ohare,51.5,44.5,44.5,15222.0,Ohare,371835607.7,126266.66666666669,105741.66666666669,87883.33333333331,92908.33333333331,101842.85714285713,1.0,202.83333333333331,24.16666666666667,8.333333333333334,91.33333333333331,2239.833333333333,12846.0,963.1297244908802
